Sample,Timepoint,Substrate,Fertilizer
Oliver004,T0,GB,Organic
Oliver005,T0,GB,Organic
Oliver007,T0,GB,Organic
Oliver008,T0,GB,Fish
Oliver010,T0,GB,Fish
Oliver011,T0,GB,Fish
Oliver012,T0,Soil,Animal
Oliver013,T0,Soil,Animal
Oliver014,T0,Soil,Animal
Oliver015,T0,Soil,Animal
Oliver016,T0,Soil,Plant
Oliver017,T0,Soil,Plant
Oliver018,T0,Soil,Plant
Oliver019,T0,Soil,Plant
Oliver020,T1,GB,Organic
Oliver022,T1,GB,Organic
Oliver023,T1,GB,Organic
Oliver024,T1,GB,Fish
Oliver025,T1,GB,Fish
Oliver026,T1,GB,Fish
Oliver027,T1,GB,Fish
Oliver028,T1,Soil,Plant
Oliver029,T1,Soil,Plant
Oliver030,T1,Soil,Plant
Oliver031,T1,Soil,Plant
Oliver032,T1,Soil,Animal
Oliver033,T1,Soil,Animal
Oliver034,T1,Soil,Animal
Oliver035,T1,Soil,Animal
Oliver036,T2,GB,Organic
Oliver037,T2,GB,Organic
Oliver038,T2,GB,Organic
Oliver039,T2,GB,Organic
Oliver040,T2,GB,Fish
Oliver041,T2,GB,Fish
Oliver042,T2,GB,Fish
Oliver043,T2,GB,Fish
Oliver044,T2,Soil,Plant
Oliver045,T2,Soil,Plant
Oliver046,T2,Soil,Plant
Oliver047,T2,Soil,Plant
Oliver048,T2,Soil,Animal
Oliver049,T2,Soil,Animal
Oliver050,T2,Soil,Animal
Oliver051,T2,Soil,Animal
Oliver052,T3,GB,Organic
Oliver053,T3,GB,Organic
Oliver054,T3,GB,Organic
Oliver055,T3,GB,Organic
Oliver056,T3,GB,Fish
Oliver057,T3,GB,Fish
Oliver058,T3,GB,Fish
Oliver059,T3,GB,Fish
Oliver060,T3,Soil,Plant
Oliver061,T3,Soil,Plant
Oliver062,T3,Soil,Plant
Oliver063,T3,Soil,Plant
Oliver064,T3,Soil,Animal
Oliver065,T3,Soil,Animal
Oliver066,T3,Soil,Animal
Oliver067,T3,Soil,Animal
Oliver068,T5,GB,Organic
Oliver069,T5,GB,Organic
Oliver070,T5,GB,Organic
Oliver071,T5,GB,Organic
Oliver072,T5,GB,Fish
Oliver073,T5,GB,Fish
Oliver074,T5,GB,Fish
Oliver075,T5,GB,Fish
Oliver076,T5,Soil,Plant
Oliver077,T5,Soil,Plant
Oliver078,T5,Soil,Plant
Oliver079,T5,Soil,Plant
Oliver080,T5,Soil,Animal
Oliver081,T5,Soil,Animal
Oliver082,T5,Soil,Animal
Oliver083,T5,Soil,Animal
Oliver084,T6,GB,Organic
Oliver085,T6,GB,Organic
Oliver086,T6,GB,Organic
Oliver087,T6,GB,Organic
Oliver088,T6,GB,Fish
Oliver089,T6,GB,Fish
Oliver090,T6,GB,Fish
Oliver091,T6,GB,Fish
Oliver092,T6,Soil,Plant
Oliver093,T6,Soil,Plant
Oliver094,T6,Soil,Plant
Oliver095,T6,Soil,Plant
Oliver096,T6,Soil,Animal
Oliver097,T6,Soil,Animal
Oliver098,T6,Soil,Animal
Oliver099,T6,Soil,Animal
Oliver100,T7,GB,Organic
Oliver101,T7,GB,Organic
Oliver102,T7,GB,Organic
Oliver103,T7,GB,Organic
Oliver104,T7,GB,Fish
Oliver106,T7,GB,Fish
Oliver107,T7,GB,Fish
Oliver108,T7,Soil,Plant
Oliver109,T7,Soil,Plant
Oliver110,T7,Soil,Plant
Oliver111,T7,Soil,Plant
Oliver112,T7,Soil,Animal
Oliver113,T7,Soil,Animal
Oliver114,T7,Soil,Animal
Oliver115,T7,Soil,Animal
Oliver116,T8,GB,Organic
Oliver117,T8,GB,Fish
Oliver118,T8,GB,Fish
Oliver119,T8,GB,Fish
Oliver120,T8,GB,Fish
Oliver121,T8,Soil,Animal
Oliver122,T8,Soil,Animal
Oliver123,T8,Soil,Animal
Oliver124,T8,Soil,Animal
Oliver125,T8,Soil,Plant
Oliver126,T8,Soil,Plant
Oliver127,T8,Soil,Plant
Oliver128,T8,Soil,Plant
Oliver135,T8,GB,Organic
Oliver143,T8,GB,Organic
Oliver144,T8,GB,Organic
